NumberOfVariables;CBO;NumberOfUniqueWords;IsConstructor;BuggedMethods;Returns;NumberOfNumbers;NumberOfModifiers;NumberOfLoops;WMC_CK;NumberOfParameters_CK;NumberOfAnonymousClasses;LOCMethod_CK;NumberOfLambdas;NumberOfMathOperations;NumberOfLogStatements;NumberOfStringLiterals;NumberOfParenthesizedExps;NumberOfTryCatch;MaxNumberOfNestedBlocks;RFC;NumberOfAssignments;NumberOfInnerClasses;NumberOfComparisons
0.0;0.0;3.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;4.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;4.0;True;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1.0;6.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.0;2.0;18.0;False;False;0.0;2.0;1.0;1.0;6.0;0.0;0.0;23.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;5.0;5.0;0.0;1.0
2.0;0.0;8.0;False;False;1.0;2.0;2.0;1.0;3.0;0.0;0.0;13.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;3.0;2.0;0.0;0.0
0.0;0.0;6.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2.0;1.0;6.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0
2.0;1.0;11.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1.0;9.0;False;False;1.0;0.0;2.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0
0.0;1.0;18.0;False;False;0.0;0.0;4.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0
2.0;3.0;19.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;10.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0
2.0;3.0;23.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;12.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0
2.0;2.0;9.0;False;False;1.0;0.0;2.0;0.0;1.0;1.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.0;5.0;24.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;15.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;10.0;7.0;0.0;0.0
6.0;5.0;22.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;12.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;8.0;6.0;0.0;0.0
0.0;0.0;5.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;5.0;False;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;True;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.0;4.0;33.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;30.0;0.0;0.0;0.0;39.0;0.0;0.0;0.0;15.0;6.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;4.0;False;False;0.0;0.0;4.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;7.0;False;False;0.0;0.0;4.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1.0;2.0;14.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0
3.0;2.0;16.0;False;False;0.0;1.0;1.0;1.0;2.0;0.0;0.0;8.0;0.0;3.0;0.0;4.0;0.0;0.0;1.0;4.0;3.0;0.0;0.0
3.0;2.0;19.0;False;False;0.0;1.0;1.0;1.0;3.0;0.0;0.0;12.0;0.0;4.0;0.0;5.0;1.0;0.0;2.0;6.0;4.0;0.0;0.0
3.0;2.0;17.0;False;False;0.0;1.0;1.0;1.0;2.0;0.0;0.0;8.0;0.0;3.0;0.0;6.0;0.0;0.0;1.0;4.0;3.0;0.0;0.0
3.0;2.0;20.0;False;False;0.0;1.0;1.0;1.0;3.0;0.0;0.0;12.0;0.0;4.0;0.0;7.0;1.0;0.0;2.0;6.0;4.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;7.0;True;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;9.0;False;False;0.0;0.0;4.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0
1.0;1.0;15.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0
0.0;1.0;6.0;False;False;0.0;1.0;1.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
2.0;1.0;17.0;False;False;0.0;1.0;1.0;1.0;2.0;0.0;0.0;9.0;0.0;5.0;0.0;7.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0
2.0;1.0;16.0;False;False;0.0;1.0;1.0;1.0;2.0;0.0;0.0;9.0;0.0;5.0;0.0;7.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0
6.0;1.0;17.0;False;False;0.0;6.0;1.0;0.0;1.0;0.0;0.0;19.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;5.0;6.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;1.0;17.0;False;False;0.0;1.0;1.0;1.0;2.0;0.0;0.0;9.0;0.0;5.0;0.0;7.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0
2.0;1.0;16.0;False;False;0.0;1.0;1.0;1.0;2.0;0.0;0.0;9.0;0.0;5.0;0.0;7.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0
0.0;1.0;12.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;8.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
1.0;1.0;19.0;False;False;0.0;0.0;1.0;0.0;2.0;0.0;0.0;9.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;4.0;1.0;0.0;1.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;7.0;True;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.0;1.0;22.0;False;False;0.0;2.0;1.0;0.0;1.0;0.0;0.0;22.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;5.0;9.0;0.0;0.0
8.0;3.0;23.0;False;False;0.0;1.0;1.0;0.0;1.0;0.0;0.0;26.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;13.0;8.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;7.0;True;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.0;1.0;20.0;False;False;0.0;16.0;1.0;0.0;1.0;0.0;0.0;20.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;6.0;7.0;0.0;0.0
8.0;3.0;23.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;26.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;13.0;8.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;6.0;True;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.0;1.0;21.0;False;False;0.0;2.0;1.0;0.0;1.0;0.0;0.0;22.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;6.0;9.0;0.0;0.0
8.0;3.0;22.0;False;False;0.0;1.0;1.0;0.0;1.0;0.0;0.0;26.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;13.0;8.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;7.0;False;False;0.0;0.0;4.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0
7.0;2.0;29.0;False;False;0.0;0.0;1.0;0.0;8.0;0.0;0.0;32.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;10.0;7.0;0.0;7.0
11.0;4.0;35.0;False;False;0.0;4.0;1.0;0.0;3.0;0.0;0.0;35.0;0.0;0.0;0.0;30.0;1.0;0.0;0.0;23.0;11.0;0.0;2.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;3.0;18.0;False;False;0.0;2.0;1.0;0.0;1.0;0.0;0.0;17.0;0.0;0.0;0.0;27.0;0.0;0.0;0.0;13.0;2.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;12.0;True;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;3.0;False;False;0.0;0.0;4.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
3.0;2.0;18.0;False;False;0.0;3.0;1.0;0.0;1.0;0.0;0.0;17.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;6.0;4.0;0.0;0.0
2.0;2.0;15.0;False;False;0.0;18.0;1.0;0.0;1.0;0.0;0.0;34.0;0.0;0.0;0.0;31.0;0.0;0.0;0.0;6.0;8.0;0.0;0.0
7.0;2.0;22.0;False;False;0.0;20.0;1.0;0.0;1.0;0.0;0.0;50.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;4.0;11.0;0.0;0.0
1.0;2.0;14.0;False;False;0.0;2.0;1.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0
7.0;3.0;20.0;False;False;0.0;6.0;1.0;0.0;1.0;0.0;0.0;34.0;0.0;1.0;0.0;42.0;0.0;0.0;0.0;6.0;12.0;0.0;0.0
1.0;2.0;11.0;False;False;0.0;4.0;1.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0
1.0;2.0;11.0;False;False;0.0;2.0;1.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1.0;25.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0
1.0;1.0;31.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;12.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0
2.0;2.0;31.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;33.0;0.0;0.0;0.0;47.0;0.0;0.0;0.0;8.0;2.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1.0;31.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;12.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0
2.0;2.0;32.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;48.0;0.0;0.0;0.0;77.0;0.0;0.0;0.0;8.0;2.0;0.0;0.0
1.0;1.0;32.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;15.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0
2.0;2.0;32.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;44.0;0.0;0.0;0.0;64.0;0.0;0.0;0.0;8.0;2.0;0.0;0.0
1.0;1.0;28.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;24.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;5.0;2.0;0.0;0.0
1.0;1.0;31.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;12.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0
3.0;2.0;29.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;19.0;0.0;0.0;0.0;38.0;0.0;0.0;0.0;6.0;3.0;0.0;0.0
2.0;2.0;31.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;36.0;0.0;0.0;0.0;53.0;0.0;0.0;0.0;8.0;2.0;0.0;0.0
1.0;1.0;31.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;14.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0
2.0;2.0;33.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;33.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;8.0;2.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;17.0;False;False;0.0;0.0;4.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0
0.0;0.0;5.0;False;False;0.0;0.0;4.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;2.0;6.0;False;False;0.0;1.0;1.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
1.0;2.0;25.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;7.0;0.0;4.0;0.0;10.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0
4.0;2.0;32.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;13.0;0.0;5.0;0.0;14.0;0.0;0.0;0.0;5.0;4.0;0.0;0.0
1.0;3.0;26.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;11.0;0.0;4.0;0.0;16.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0
6.0;4.0;38.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;20.0;0.0;8.0;0.0;27.0;0.0;0.0;0.0;9.0;6.0;0.0;0.0
6.0;2.0;29.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;23.0;0.0;11.0;0.0;32.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;6.0;True;False;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;2.0;33.0;False;True;0.0;59.0;1.0;0.0;1.0;0.0;0.0;55.0;0.0;0.0;0.0;33.0;0.0;0.0;0.0;8.0;20.0;0.0;0.0
11.0;4.0;35.0;False;False;0.0;4.0;1.0;0.0;3.0;0.0;0.0;35.0;0.0;1.0;0.0;30.0;1.0;0.0;0.0;23.0;11.0;0.0;2.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.0;0.0;32.0;False;False;1.0;3.0;10.0;3.0;8.0;1.0;0.0;38.0;0.0;1.0;0.0;9.0;1.0;0.0;5.0;9.0;19.0;0.0;1.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;4.0;False;False;1.0;0.0;10.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
3.0;2.0;13.0;False;False;1.0;0.0;2.0;0.0;3.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;6.0;3.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.0;3.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
2.0;1.0;17.0;False;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;13.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;5.0;2.0;0.0;0.0
